ON_STREET,Dir,X_STREET,TYPE,Date,Day,NB,SB,EB,WB,TOT_24,FID
SUNSET AVE,E,SAN JUAN AVE,24,2018-06-26T00:00:00.000Z,T,,,3734,4314,8048,2407
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2018-06-26T00:00:00.000Z,T,24525,25034,,,49559,2408
WINDING WAY,E,SAN JUAN AVE,24,2018-06-26T00:00:00.000Z,T,,,3480,6552,10032,2409
SUNSET AVE,W,KENNETH AVE,24,2018-06-26T00:00:00.000Z,T,,,4232,3932,8164,2410
COLONY RD,N,VALENSIN RD,24,2018-08-08T00:00:00.000Z,W,581,631,,,1212,2411
SAN JUAN AVE,S,WINDING WAY,24,2018-06-26T00:00:00.000Z,T,7912,11673,,,19585,2412
BELL ST,N,NORTHROP AVE,24,2018-06-27T00:00:00.000Z,W,2572,2815,,,5387,2413
OAK AVE,W,HAZEL AVE,24,2018-06-27T00:00:00.000Z,W,,,7094,3899,10993,2414
SUNSET AVE,E,SAN JUAN AVE,24,2018-06-27T00:00:00.000Z,W,,,3857,4431,8288,2415
WILTON RD,E,GRANT LINE RD,24,2018-08-09T00:00:00.000Z,Th,,,4690,4739,9429,2416
ILLINOIS AVE,S,SUNSET AVE,24,2018-06-27T00:00:00.000Z,W,1182,1830,,,3012,2417
NEW HOPE RD,E,SARGENT AVE,24,2018-08-09T00:00:00.000Z,Th,,,817,615,1432,2418
MENLO AVE,N,BEUTLER DR,24,2018-06-27T00:00:00.000Z,W,,,,,671,2419
DILLARD RD,E,STATE ROUTE 99,24,2018-08-09T00:00:00.000Z,Th,,,2275,1753,4028,2420
SUNSET AVE,W,KENNETH AVE,24,2018-06-27T00:00:00.000Z,W,,,4220,4109,8329,2421
CYPRESS AVE,E,PASADENA AVE,24,2018-05-03T00:00:00.000Z,Th,,,8192,8718,16910,2422
SIMMERHORN RD,W,CLAY STATION RD,24,2018-08-09T00:00:00.000Z,Th,,,341,295,636,2423
SAN JUAN AVE,S,WINDING WAY,24,2018-06-27T00:00:00.000Z,W,7957,11884,,,19841,2424
MARCONI AVE,E,EASTERN AVE,24,2018-05-03T00:00:00.000Z,Th,,,10061,10567,20628,2425
ALTA MESA RD,N,BORDEN RD,24,2018-08-09T00:00:00.000Z,Th,645,,,,1321,2426
KIEFER BLVD,E,SOUTH PORT DR,24,2018-06-06T00:00:00.000Z,W,,,9144,9033,18177,2427
WINDING WAY,E,SAN JUAN AVE,24,2018-06-27T00:00:00.000Z,W,,,3428,6543,9971,2428
DIABLO DR,S,ROSEVILLE RD,24,2018-05-08T00:00:00.000Z,T,3986,3770,,,7756,2429
ARNO RD,E,STATE ROUTE 99,24,2018-08-09T00:00:00.000Z,Th,,,1075,1085,2160,2430
GREENBACK LN,W,GARFIELD AVE,24,2018-06-06T00:00:00.000Z,W,,,39888,35085,74973,2431
FAIR OAKS BLVD,N,GREENBACK LN,24,2018-06-27T00:00:00.000Z,W,8796,12137,,,20933,2432
WATT AVE,S,MARCONI AVE,24,2018-05-08T00:00:00.000Z,T,25053,26016,,,51069,2433
ORANGE GROVE AVE,W,RIVER COLLEGE DR,24,2018-09-18T00:00:00.000Z,T,,,5510,4779,10289,2434
SIMMERHORN RD,W,STEINER RD,24,2018-08-09T00:00:00.000Z,Th,,,2328,2213,4541,2435
MADISON AVE,W,HAZEL AVE,24,2018-06-06T00:00:00.000Z,W,,,16802,16765,33567,2436
KENNETH AVE,N,SUNSET AVE,24,2018-06-27T00:00:00.000Z,W,1570,1704,,,3274,2437
ROSEVILLE RD,N,DIABLO DR,24,2018-05-08T00:00:00.000Z,T,10483,10602,,,21085,2438
MARCONI AVE,E,FULTON AVE,24,2018-09-18T00:00:00.000Z,T,,,11032,12156,23188,2439
COLONY RD,N,VALENSIN RD,24,2018-08-09T00:00:00.000Z,Th,548,681,,,1229,2440
MARTIN LUTHER KING JR BL,S,47TH AVE,24,2018-06-07T00:00:00.000Z,Th,9529,10716,,,20245,2441
YOSEMITE AVE,W,STOCKTON BLVD,24,2018-06-12T00:00:00.000Z,T,,,,,540,2442
CYPRESS AVE,W,GARFIELD AVE,24,2018-06-12T00:00:00.000Z,T,,,7497,6887,14384,2443
CABOCHON WAY,N,FIRSTONE DR,24,2018-06-12T00:00:00.000Z,T,,,,,885,2444
PARKER AVE,E,44TH ST,24,2018-06-12T00:00:00.000Z,T,,,,,1183,2445
CYPRESS AVE,W,GARFIELD AVE,24,2018-06-13T00:00:00.000Z,W,,,7484,6853,14337,2446
YOSEMITE AVE,W,STOCKTON BLVD,24,2018-06-13T00:00:00.000Z,W,,,,,653,2447
CABOCHON WAY,N,FIRSTONE DR,24,2018-06-13T00:00:00.000Z,W,,,,,850,2448
PARKER AVE,E,44TH ST,24,2018-06-13T00:00:00.000Z,W,,,,,1213,2449
FAIR OAKS BLVD,S,MADISON AVE,24,2018-06-13T00:00:00.000Z,W,7508,7696,,,15204,2450
SUNSET AVE,W,FAIR OAKS BLVD,24,2018-06-13T00:00:00.000Z,W,,,6063,6285,12348,2451
EASTERN AVE,N,FAIR OAKS BLVD,24,2018-06-14T00:00:00.000Z,Th,8387,8173,,,16560,2452
WALNUT AVE,W,FAIR OAKS BLVD,24,2018-06-14T00:00:00.000Z,Th,,,5454,5722,11176,2453
VAN ALSTINE AVE,W,CALIFORNIA AVE,24,2018-06-14T00:00:00.000Z,Th,,,768,1098,1866,2454
CALIFORNIA AVE,N,PALM AVE,24,2018-06-14T00:00:00.000Z,Th,2151,4461,,,6612,2455
FAIR OAKS BLVD,N,WALNUT AVE,24,2018-06-14T00:00:00.000Z,Th,13143,14203,,,27346,2456
FAIR OAKS BLVD,E,WATT AVE,24,2018-06-14T00:00:00.000Z,Th,,,18335,21350,39685,2457
MISSION AVE,N,FAIR OAKS BLVD,24,2018-06-14T00:00:00.000Z,Th,914,772,,,1686,2458
FAIR OAKS BLVD,S,GARFIELD AVE,24,2018-06-14T00:00:00.000Z,Th,12509,12049,,,24558,2459
MCCLAREN DR,S,ARDEN WAY,24,2018-06-14T00:00:00.000Z,Th,697,460,,,1157,2460
ROBERTSON AVE,E,GARFIELD AVE,24,2018-06-14T00:00:00.000Z,Th,,,818,1002,1820,2461
FAIR OAKS BLVD,W,EASTERN AVE,24,2018-06-14T00:00:00.000Z,Th,,,20531,21415,41946,2462
GRANT AVE,E,MARSHALL AVE,24,2018-06-19T00:00:00.000Z,T,,,849,757,1606,2463
MADISON AVE,E,SUNRISE BLVD,24,2018-06-19T00:00:00.000Z,T,,,19081,19013,38094,2464
SUTTER AVE,W,HOLLISTER AVE,24,2018-06-19T00:00:00.000Z,T,,,628,458,1086,2465
FAIR OAKS BLVD,S,ARDEN WAY,24,2018-06-19T00:00:00.000Z,,13668,14671,,,28339,2466
MADISON AVE,E,SAN JUAN AVE,24,2018-06-19T00:00:00.000Z,T,,,22910,25091,48001,2467
SUNRISE BLVD,N,SUNSET AVE,24,2018-06-19T00:00:00.000Z,T,25959,24107,,,50066,2468
SUNRISE BLVD,N,MADISON AVE,24,2018-06-19T00:00:00.000Z,T,22747,22232,,,44979,2469
STANLEY AVE,W,MARSHALL AVE,24,2018-06-19T00:00:00.000Z,T,,,719,606,1325,2470
FAIR OAKS BLVD,N,MARCONI AVE,24,2018-06-19T00:00:00.000Z,T,16341,15996,,,32337,2471
FAIR OAKS BLVD,N,EL CAMINO AVE,24,2018-06-19T00:00:00.000Z,T,13540,13580,,,27120,2472
SAN JUAN AVE,N,FAIR OAKS BLVD,24,2018-06-20T00:00:00.000Z,W,7262,11680,,,18942,2473
WINDING WAY,E,MANZANITA AVE,24,2018-06-20T00:00:00.000Z,W,,,8692,9952,18644,2474
WINDING WAY,W,KENNETH AVE,24,2018-06-20T00:00:00.000Z,W,,,1512,1551,3063,2475
WINDING WAY,E,CENTRAL AVE,24,2018-06-20T00:00:00.000Z,W,,,1689,1515,3204,2476
MANZANITA AVE,S,WINDING WAY,24,2018-06-20T00:00:00.000Z,W,12730,12335,,,25065,2477
FAIR OAKS BLVD,S,GRANT AVE,24,2018-06-20T00:00:00.000Z,W,17149,17333,,,34482,2478
FAIR OAKS BLVD,E,SAN JUAN AVE,24,2018-06-20T00:00:00.000Z,W,,,19932,15537,35469,2479
FAIR OAKS BLVD,W,CALIFORNIA AVE,24,2018-06-20T00:00:00.000Z,W,,,14410,14163,28573,2480
KENNETH AVE,N,WINDING WAY,24,2018-06-20T00:00:00.000Z,W,485,600,,,1085,2481
LA RIVIERA DR,N,FOLSOM BLVD,24,2018-06-21T00:00:00.000Z,Th,5266,4109,,,9375,2482
LA RIVIERA DR,E,SALMON FALLS DR,24,2018-06-21T00:00:00.000Z,Th,,,6134,7852,13986,2483
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2018-06-22T00:00:00.000Z,F,24477,25743,,,50220,2484
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2018-06-23T00:00:00.000Z,SA,19862,20137,,,39999,2485
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2018-06-24T00:00:00.000Z,SU,16478,15688,,,32166,2486
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2018-06-25T00:00:00.000Z,M,23063,22327,,,45390,2487
ETHAN WAY,S,EL CAMINO AVE,24,2018-09-18T00:00:00.000Z,T,5667,,,,,2488
LA RIVIERA DR,E,WATT AVE,24,2018-09-19T00:00:00.000Z,W,,,8159,10426,18585,2489
AUBURN BLVD,E,WATT AVE,24,2018-09-19T00:00:00.000Z,W,,,9608,10326,19934,2490
MARCONI AVE,E,FULTON AVE,24,2018-09-19T00:00:00.000Z,W,,,11067,12193,23260,2491
ETHAN WAY,S,EL CAMINO AVE,24,2018-09-19T00:00:00.000Z,W,5651,,,,,2492
GARFIELD AVE,N,MADISON AVE,24,2018-09-19T00:00:00.000Z,W,10346,10892,,,21238,2493
VOGELSANG DR,S,ROBERT FROST WAY,24,2018-05-08T00:00:00.000Z,T,,,,,300,2494
MORSE AVE,N,EL CAMINO AVE,24,2018-09-19T00:00:00.000Z,W,1261,1431,,,2692,2495
LINCOLN WAY,N,KOST RD,24,2018-08-09T00:00:00.000Z,Th,2965,2554,,,5519,2496
VALENSIN RD,E,COLONY RD,24,2018-08-09T00:00:00.000Z,Th,,,511,430,941,2497
ARNO RD,W,ALTA MESA RD,24,2018-08-09T00:00:00.000Z,Th,,,131,119,250,2498
VALENSIN RD,E,ARNO RD,24,2018-08-09T00:00:00.000Z,Th,,,885,822,1707,2499
BANNISTER RD,S,WINDING WAY,24,2018-09-19T00:00:00.000Z,W,436,459,,,895,2500
BORDEN RD,E,TWIN CITIES RD,24,2018-08-09T00:00:00.000Z,Th,,,828,802,1630,2501
WATT AVE,N,FAIR OAKS BLVD,24,2018-05-08T00:00:00.000Z,T,27561,27700,,,55261,2502
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2018-06-27T00:00:00.000Z,W,25317,24210,,,49527,2503
BOURBON DR,E,MANZANITA AVE,24,2018-09-20T00:00:00.000Z,TH,,,,,1105,2504
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2018-06-28T00:00:00.000Z,Th,25743,25629,,,51372,2505
BANNISTER RD,S,WINDING WAY,24,2018-09-20T00:00:00.000Z,Th,362,369,,,731,2506
FAIR OAKS BLVD,N,GREENBACK LN,24,2018-06-28T00:00:00.000Z,Th,8791,12323,,,21114,2507
BRADSHAW RD,N,CALVINE RD,24,2018-08-21T00:00:00.000Z,T,10830,11335,,,22165,2508
CALIFORNIA AVE,S,FAIR OAKS BLVD,24,2018-09-20T00:00:00.000Z,TH,3556,3444,,,7000,2509
WATT AVE,N,COTTAGE WAY,24,2018-05-08T00:00:00.000Z,T,27187,26075,,,53262,2510
HOWE AVE,N,ALTA ARDEN EXPY,24,2018-06-28T00:00:00.000Z,Th,13118,11444,,,24562,2511
BRADSHAW RD,N,FLORIN RD,24,2018-08-21T00:00:00.000Z,T,14901,15575,,,30476,2512
WALNUT AVE,N,WHITNEY AVE,24,2018-09-25T00:00:00.000Z,T,11013,10884,,,21897,2513
WATT AVE,S,AUBURN BLVD,24,2018-05-08T00:00:00.000Z,T,27530,28192,,,55722,2514
SIERRA BLVD,E,HOWE AVE,24,2018-06-28T00:00:00.000Z,Th,,,2164,1843,4007,2515
ISLETON RD,N,ISLETON BRIDGE,24,2018-08-21T00:00:00.000Z,T,1505,1127,,,2632,2516
BANNISTER RD,S,WINDING WAY,24,2018-09-25T00:00:00.000Z,T,400,368,,,768,2517
WATT AVE,S,ARDEN WAY,24,2018-05-08T00:00:00.000Z,T,27687,27630,,,55317,2518
HACKBERRY LN,S,PALM AVE,24,2018-06-28T00:00:00.000Z,Th,511,262,,,773,2519
CALVINE RD,W,BRADSHAW RD,24,2018-08-21T00:00:00.000Z,T,,,9448,10750,20198,2520
22ND ST,N,ELKHORN BLVD,24,2018-09-25T00:00:00.000Z,T,327,332,,,659,2521
WESLEY AVE,N,49TH ST,24,2018-10-31T00:00:00.000Z,W,,,,,664,2522
WATT AVE,N,EL CAMINO AVE,24,2018-05-08T00:00:00.000Z,T,24735,25686,,,50421,2523
PERSIMMON AVE,S,ORANGE AVE,24,2018-06-28T00:00:00.000Z,Th,,,,,597,2524
CALVINE RD,E,BRADSHAW RD,24,2018-08-21T00:00:00.000Z,T,,,7846,8435,16281,2525
TAVERNOR RD,N,BLAKE RD,24,2018-08-01T00:00:00.000Z,W,188,160,,,348,2526
FRUITRIDGE RD,W,MARTIN LUTHER KING BLVD,24,2018-07-17T00:00:00.000Z,T,,,,16417,,2527
HAZEL AVE,N,WINDING WAY,24,2018-10-02T00:00:00.000Z,T,25186,24542,,,49728,2528
FAIR OAKS BLVD,N,ENGLE RD,24,2018-10-02T00:00:00.000Z,T,19921,20415,,,40336,2529
SUNRISE BLVD,N,FAIR OAKS BLVD,24,2018-10-02T00:00:00.000Z,T,29300,25967,,,55267,2530
SOUTH WATT AVE,S,FOLSOM BLVD,24,2018-10-02T00:00:00.000Z,T,25630,26196,,,51826,2531
LA RIVIERA DR,E,WATT AVE,24,2018-10-03T00:00:00.000Z,Th,,,7861,10028,17889,2532
MUNROE ST,S,FAIR OAKS BLVD,24,2018-10-03T00:00:00.000Z,W,8948,,,,21850,2533
AMERICAN RIVER DR,W,WATT AVE,24,2018-10-03T00:00:00.000Z,W,,,6019,4896,10915,2534
AMERICAN RIVER DR,E,WATT AVE,24,2018-10-03T00:00:00.000Z,W,,,8538,5936,14474,2535
FAIR OAKS BLVD,W,SUNRISE BLVD,24,2018-10-04T00:00:00.000Z,,,,21243,16059,37302,2536
OLD PLACERVILLE RD,E,BRADSHAW RD,24,2018-10-04T00:00:00.000Z,Th,,,7464,8909,16373,2537
BANNISTER RD,S,FAIR OAKS BLVD,24,2018-10-04T00:00:00.000Z,Th,1441,980,,,2421,2538
ALMOND AVE,S,OAK AVE,24,2018-10-04T00:00:00.000Z,Th,376,398,,,774,2539
BUENA VISTA AVE,S,MADISON AVE,24,2018-10-04T00:00:00.000Z,Th,,,,,1507,2540
CHERRY AVE,E,HAZEL AVE,24,2018-10-04T00:00:00.000Z,Th,,,686,1375,2061,2541
HOLLISTER AVE,S,FAIR OAKS BLVD,24,2018-10-16T00:00:00.000Z,T,1428,1202,,,2630,2542
GARFIELD AVE,N,MARCONI AVE,24,2018-10-16T00:00:00.000Z,T,3408,3422,,,6830,2543
HOLLISTER AVE,N,GRANT AVE,24,2018-10-16T00:00:00.000Z,T,880,783,,,1663,2544
LINCOLN AVE,E,MANZANITA AVE,24,2018-10-16T00:00:00.000Z,T,,,2286,2376,4662,2545
KENNETH AVE,E,GARFIELD AVE,24,2018-10-16T00:00:00.000Z,T,,,,,1242,2546
GRANT AVE,E,MARSHALL AVE,24,2018-10-16T00:00:00.000Z,T,,,858,810,1668,2547
FAIR OAKS BLVD,E,EASTERN AVE,24,2018-10-17T00:00:00.000Z,W,,,16109,17076,33185,2548
DON JULIO BLVD,E,WATT AVE,24,2018-10-17T00:00:00.000Z,W,,,4284,4140,8424,2549
FULTON AVE,S,EL CAMINO AVE,24,2018-10-17T00:00:00.000Z,W,14711,15313,,,30024,2550
NORTHROP AVE,E,HOWE AVE,24,2018-10-17T00:00:00.000Z,W,,,3830,3771,7601,2551
ELKHORN BLVD,E,WALERGA RD,24,2018-10-17T00:00:00.000Z,W,,,17321,17453,34774,2552
ELVERTA RD,E,WALERGA RD,24,2018-10-17T00:00:00.000Z,W,,,5097,5290,10387,2553
MUNROE ST,S,FAIR OAKS BLVD,24,2018-10-17T00:00:00.000Z,W,8725,,,,21627,2554
MADISON AVE,W,HILLSDALE BLVD,24,2018-10-23T00:00:00.000Z,T,,,13999,13750,27749,2555
HOWE AVE,S,ARDEN WAY,24,2018-10-23T00:00:00.000Z,W,19597,15898,,,35495,2556
MORSE AVE,S,ALTA ARDEN EXPWY,24,2018-10-24T00:00:00.000Z,W,3375,3212,,,6587,2557
MORSE AVE,S,COTTAGE WAY,24,2018-10-24T00:00:00.000Z,W,4468,3915,,,8383,2558
WESLEY AVE,N,49TH ST,24,2018-10-30T00:00:00.000Z,T,,,,,611,2559
GERBER RD,W,ELK GROVE FLORIN RD,24,2018-10-30T00:00:00.000Z,T,,,12635,12397,25032,2560
GENEVA POINTE DR,E,EAST STOCKTON BLVD,24,2018-10-30T00:00:00.000Z,T,,,2861,3492,6353,2561
FOLSOM BLVD,E,AEROJET RD,24,2018-08-01T00:00:00.000Z,W,,,6583,6275,12858,2562
AUBURN BLVD,N,STATE ROUTE 244,24,2018-10-31T00:00:00.000Z,W,15801,17505,,,33306,2563
AIRPORT BL,N,I-5,24,2018-08-21T00:00:00.000Z,T,22256,,,,44430,2564
MYRTLE AVE,W,HEMLOCK ST,24,2018-10-31T00:00:00.000Z,W,,,3378,3082,6460,2565
IONE RD,S,JACKSON RD/SR 16,24,2018-08-01T00:00:00.000Z,W,1406,1345,,,2751,2566
STAMPER WAY,S,LAWNWOOD DR,24,2018-08-22T00:00:00.000Z,W,,,,,624,2567
FIRELIGHT WAY,W,PERCIVAL DR,24,2018-05-09T00:00:00.000Z,W,,,,,170,2568
ALTA ARDEN EXPWY,E,HOWE AV,24,2018-06-28T00:00:00.000Z,Th,,,9250,7825,17075,2569
MYRTLE AVE,W,PALOMINO LN,24,2018-10-31T00:00:00.000Z,W,,,2875,2933,5808,2570
WHITE ROCK RD,W,SCOTT RD W/EXT,24,2018-08-01T00:00:00.000Z,W,,,5192,8649,13841,2571
MAYHEW RD,S,FOLSOM BLVD,24,2018-08-22T00:00:00.000Z,W,5256,4449,,,9705,2572
ROSEVILLE RD,N,DIABLO DR,24,2018-05-09T00:00:00.000Z,W,10719,10853,,,21572,2573
FLORIN RD,E,STATE ROUTE 99,24,2018-07-10T00:00:00.000Z,T,,,35721,36310,72031,2574
GENEVA POINTE DR,E,EAST STOCKTON BLVD,24,2018-10-31T00:00:00.000Z,W,,,2718,3546,6264,2575
MEISS RD,E,DILLARD RD,24,2018-08-01T00:00:00.000Z,W,,,,,228,2576
BRADSHAW RD,S,HWY 50,24,2018-08-22T00:00:00.000Z,Th,27343,,,,55642,2577
VOGELSANG DR,S,ROBERT FROST WAY,24,2018-05-09T00:00:00.000Z,W,,,,,247,2578
ARDEN WAY,E,MORSE AVE,24,2018-07-17T00:00:00.000Z,T,,,12711,13523,26234,2579
34TH AVE,E,42ND ST,24,2018-07-10T00:00:00.000Z,T,,,,,561,2580
SUTTER AVE,W,FAIR OAKS BLVD,24,2018-10-31T00:00:00.000Z,W,,,,,1760,2581
BLAKE RD,W,ALTA MESA RD,24,2018-08-01T00:00:00.000Z,W,,,328,375,703,2582
BRADSHAW RD,S,FOLSOM BLVD,24,2018-08-22T00:00:00.000Z,W,10747,10819,,,21566,2583
DIABLO DR,S,ROSEVILLE RD,24,2018-05-09T00:00:00.000Z,W,4119,3843,,,7962,2584
WATT AVE,S,AUBURN BLVD,24,2018-05-09T00:00:00.000Z,W,27820,28423,,,56243,2585
ANNA WAY,N,EL CAMINO AVE,24,2018-05-15T00:00:00.000Z,T,,,,,250,2586
SPRIG DR,N,PRETENTIOUS WAY,24,2018-05-15T00:00:00.000Z,T,891,1815,,,2706,2587
ROBERTSON AVE,E,WATT AVE,24,2018-05-16T00:00:00.000Z,W,,,762,519,1281,2588
EL CAMINO AVE,E,WATT AVE,24,2018-05-16T00:00:00.000Z,W,,,8386,9383,17769,2589
ANNA WAY,N,EL CAMINO AVE,24,2018-05-16T00:00:00.000Z,W,,,,,286,2590
MONTEVINA DR,E,CAYMUS DR,24,2018-05-30T00:00:00.000Z,W,,,,,2283,2591
KENNETH AVE,E,CALIFORNIA AVE,24,2018-05-30T00:00:00.000Z,W,,,,,198,2592
VINTAGE PARK DR,W,ELK GROVE FLORIN RD,24,2018-05-30T00:00:00.000Z,W,,,2232,1908,4140,2593
FULTON AVE,S,NORTHROP AVE,24,2018-05-30T00:00:00.000Z,W,13071,14796,,,27867,2594
JACKSON RD/SR 16,W,SOUTH WATT AVE,24,2018-05-30T00:00:00.000Z,W,,,5383,5361,10744,2595
MCDERMOTT DR,N,PRETENTIOUS WAY,24,2018-05-30T00:00:00.000Z,W,,,,,1075,2596
BELL ST,N,EL CAMINO AVE,24,2018-05-30T00:00:00.000Z,W,3708,3555,,,7263,2597
FLORIN RD,E,POWER INN RD,24,2018-05-31T00:00:00.000Z,Th,,,12108,13134,25242,2598
POWER INN RD,S,FLORIN RD,24,2018-05-31T00:00:00.000Z,Th,13494,,,,28182,2599
FLORIN RD,W,POWER INN RD,24,2018-05-31T00:00:00.000Z,Th,,,13949,15001,28950,2600
STEVENSON AVE,E,EAST STOCKTON BLVD,24,2018-06-05T00:00:00.000Z,T,,,1469,1083,2552,2601
GENEVA POINTE DR,E,EAST STOCKTON BLVD,24,2018-06-05T00:00:00.000Z,T,,,2665,3400,6065,2602
ELKHORN BLVD,W,DIABLO DR,24,2018-06-05T00:00:00.000Z,T,,,27136,27750,54886,2603
GREENBACK LN,W,GARFIELD AVE,24,2018-06-05T00:00:00.000Z,T,,,41145,36490,77635,2604
LECCHESI DR,E,GRAND CRU DR,24,2018-06-05T00:00:00.000Z,T,,,,,1521,2605
MADISON AVE,W,HAZEL AVE,24,2018-06-05T00:00:00.000Z,T,,,17920,18261,36181,2606
GREENBACK LN,E,GARFIELD AVE,24,2018-06-05T00:00:00.000Z,T,,,28275,29715,57990,2607
FIRESTONE WAY,N,POKER LN,24,2018-06-05T00:00:00.000Z,T,,,,,1432,2608
47TH AVE,E,MARTIN LUTHER KING JR BL,24,2018-06-05T00:00:00.000Z,T,,,20872,19631,40503,2609
MADISON AVE,E,COLLEGE OAK DR,24,2018-06-05T00:00:00.000Z,T,,,26302,24461,50763,2610
MADISON AVE,E,HAZEL AVE,24,2018-06-05T00:00:00.000Z,T,,,13986,13944,27930,2611
MADISON AVE,E,AUBURN BLVD,24,2018-06-05T00:00:00.000Z,T,,,23847,24750,48597,2612
MADISON AVE,E,COLLEGE OAK DR,24,2018-06-06T00:00:00.000Z,W,,,25329,24139,49468,2613
ROSEMONT DR,N,KIEFER BLVD,24,2018-06-06T00:00:00.000Z,W,663,648,,,1311,2614
MADISON AVE,E,AUBURN BLVD,24,2018-06-06T00:00:00.000Z,W,,,23300,24792,48092,2615
GREENBACK LN,E,GARFIELD AVE,24,2018-06-06T00:00:00.000Z,W,,,27536,27920,55456,2616
MADISON AVE,E,HAZEL AVE,24,2018-06-06T00:00:00.000Z,W,,,13131,13265,26396,2617
MARTIN LUTHER KING JR BL,S,47TH AVE,24,2018-06-06T00:00:00.000Z,W,9283,10704,,,19987,2618
KIEFER BLVD,W,SOUTH PORT DR,24,2018-06-06T00:00:00.000Z,W,,,8535,8738,17273,2619
GERBER RD,W,ELK GROVE FLORIN RD,24,2018-10-31T00:00:00.000Z,W,,,13267,12670,25937,2620
SCOTT RD,N,LATROBE RD,24,2018-08-01T00:00:00.000Z,W,1374,1407,,,2781,2621
FOLSOM BLVD,E,BRADSHAW RD,24,2018-08-22T00:00:00.000Z,W,,,8121,9589,17710,2622
FLORIN RD,W,STOCKTON BLVD,24,2018-07-10T00:00:00.000Z,T,,,17539,18381,35920,2623
SCOTT RD,S,WHITE ROCK RD,24,2018-08-01T00:00:00.000Z,W,1383,1384,,,2767,2624
EVEREST WAY,N,TACOMIC DR,24,2018-10-31T00:00:00.000Z,W,,,,,903,2625
HURLEY WAY,W,WATT AVE,24,2018-07-17T00:00:00.000Z,T,,,3629,3478,7107,2626
MAYHEW RD,S,HWY 50,24,2018-08-22T00:00:00.000Z,W,4793,3969,,,8762,2627
FLORIN RD,E,FRANKLIN BLVD,24,2018-07-10T00:00:00.000Z,T,,,19896,21093,40989,2628
FOLSOM BLVD,S,HWY 50,24,2018-08-01T00:00:00.000Z,W,7191,6760,,,13951,2629
HACKBERRY LN,N,CYPRESS AVE,24,2018-10-31T00:00:00.000Z,W,1005,719,,,1724,2630
CALVINE RD,W,ELK GROVE FLORIN RD,24,2018-07-17T00:00:00.000Z,T,,,19733,19456,39189,2631
GRANT LINE RD,W,BRADSHAW RD,24,2018-08-23T00:00:00.000Z,Th,,,9164,9197,18361,2632
44TH ST,N,47TH AVE,24,2018-07-10T00:00:00.000Z,T,3261,3850,,,7111,2633
SAN RAMON WAY,N,LA SIERRA DR,24,2018-08-02T00:00:00.000Z,Th,,,,,356,2634
CYPRESS AVE,E,PASADENA AVE,24,2018-10-31T00:00:00.000Z,W,,,7986,8277,16263,2635
CALVINE RD,E,POWER INN RD,24,2018-07-17T00:00:00.000Z,T,,,20982,23012,43994,2636
EL PRADO WAY,W,MORSE AVE,24,2018-08-28T00:00:00.000Z,T,,,,,747,2637
MORSE AVE,N,FAIR OAKS BLVD,24,2018-07-11T00:00:00.000Z,W,1294,1489,,,2783,2638
CHELSEA RD,E,MORSE AVE,24,2018-08-02T00:00:00.000Z,Th,,,,,263,2639
NEW YORK AVE,N,FAIR OAKS BLVD,24,2018-10-31T00:00:00.000Z,W,,,,,1025,2640
EVEREST WAY,N,TACOMIC DR,24,2018-11-01T00:00:00.000Z,Th,,,,,917,2641
HACKBERRY LN,N,CYPRESS AVE,24,2018-11-01T00:00:00.000Z,Th,957,674,,,1631,2642
CYPRESS AVE,E,PASADENA AVE,24,2018-11-01T00:00:00.000Z,Th,,,7990,8230,16220,2643
MYRTLE AVE,W,HEMLOCK ST,24,2018-11-01T00:00:00.000Z,Th,,,3277,3031,6308,2644
MYRTLE AVE,W,PALOMINO LN,24,2018-11-01T00:00:00.000Z,Th,,,2927,2901,5828,2645
SUTTER AVE,W,FAIR OAKS BLVD,24,2018-11-01T00:00:00.000Z,Th,,,,,1677,2646
AUBURN BLVD,N,STATE ROUTE 244,24,2018-11-01T00:00:00.000Z,Th,15839,17548,,,33387,2647
WHITE ROCK RD,W,EL DORADO COUNTY LINE,24,2018-11-14T00:00:00.000Z,W,,,3989,4108,8097,2648
GRANT LINE RD,S,JACKSON RD/SR 16,24,2018-11-14T00:00:00.000Z,W,4315,3828,,,8143,2649
SUNRISE BLVD,N,FLORIN RD,24,2018-11-14T00:00:00.000Z,W,5874,6422,,,12296,2650
JACKSON RD/SR 16,E,GRANT LINE RD,24,2018-11-14T00:00:00.000Z,W,,,7901,8215,16116,2651
JACKSON RD/SR 16,E,SUNRISE BLVD,24,2018-11-14T00:00:00.000Z,W,,,7862,7516,15378,2652
EISENHOWER DR,N,SOUTH PORT DR,24,2018-11-14T00:00:00.000Z,W,292,299,,,591,2653
GRANT LINE RD,S,JACKSON RD/SR 16,24,2018-11-15T00:00:00.000Z,Th,3989,3523,,,7512,2654
SUNRISE BLVD,N,FLORIN RD,24,2018-11-15T00:00:00.000Z,Th,5760,6446,,,12206,2655
